[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":83,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":83,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":83,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":83,"warehouse_id":1,"quantity":4,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":83,"warehouse_id":7,"quantity":-4,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":83,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":82,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":82,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":82,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":82,"warehouse_id":1,"quantity":2,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":82,"warehouse_id":7,"quantity":-2,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":82,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":286,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":286,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":286,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":286,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":286,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":286,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":276,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":276,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":276,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":276,"warehouse_id":1,"quantity":6,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":276,"warehouse_id":7,"quantity":-6,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":276,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":222,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":222,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":222,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":222,"warehouse_id":1,"quantity":12,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":222,"warehouse_id":7,"quantity":-12,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":222,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":148,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":148,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":148,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":148,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":148,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":148,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":302,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":302,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":302,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":302,"warehouse_id":1,"quantity":15,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":302,"warehouse_id":7,"quantity":-15,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":302,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":11,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":11,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":11,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":11,"warehouse_id":1,"quantity":300,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":11,"warehouse_id":7,"quantity":-36,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":11,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":93,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":93,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":93,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":93,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":93,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":93,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":86,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":86,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":86,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":86,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":86,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":86,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":88,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":88,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":88,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":88,"warehouse_id":1,"quantity":2,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":88,"warehouse_id":7,"quantity":-2,"volume":0}
[2025-06-03 14:18:05] Пересчёт остатков | {"item_id":88,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":89,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":89,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":89,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":89,"warehouse_id":1,"quantity":2,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":89,"warehouse_id":7,"quantity":-2,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":89,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":333,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":333,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":333,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":333,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:06] Пересчёт остатков | {"item_id":333,"warehouse_id":7,"quantity":0,"volume":0}
